author_display,title,id,author_id
"Smith, Charlotte",Elegy. ,n22cs-w0610,pers00290
"Jones, Mary",The FALL. ,pjo50-w0410,pers00273
"Jones, Mary","BIRTH-DAY To the same, on Richmond-Green, Soon after her being Maid of Honour to Queen CAROLINE.",pjo50-w0400,pers00273
"Smith, Charlotte",Ode to Despair. From the Novel of Emmeline. ,n22cs-w0600,pers00290
"Hall, William",VACATION. ,o5157-w0200,pers00146
"Baillie, Joanna",A CHEERFUL-TEMPERED LOVER'S FAREWELL TO HIS MISTRESS. ,bjb18-w0060,pers00287
"Cunningham, John",DAY: A PASTORAL.,o5089-w0800,pers00168
"Shenstone, William",[Song]  IV. Written in a Collection of Bacchanalian Songs. ,o5155-w0933,pers00035
"Cunningham, John",CONTENT: A PASTORAL.,o5089-w0810,pers00168
"Baillie, Joanna",A PROUD LOVER'S FAREWELL TO HIS MISTRESS. ,bjb18-w0070,pers00287
"Hall, William","To a LADY very handsome, but too fond of DRESS. ",o5157-w0210,pers00146
"Watts, Isaac",TO Her MAJESTY. ,o4672-w0380,pers00292
"Prior, Matthew",EPILOGUE TO LUCIUS. ,pmp18-w0890,pers00314
"Egerton, Sarah Fyge",On my leaving S—y. ,pse03-w0360,pers00272
"Prior, Matthew",EPILOGUE TO PHÆDRA. ,pmp18-w0880,pers00314
"Watts, Isaac",TO Mr. John Lock Retired from The World of Business. ,o4672-w0390,pers00292
"Egerton, Sarah Fyge",The Gratitude. ,pse03-w0370,pers00272
"Duck, Stephen",An Imitation of the Sixteenth Ode of the Third Book of HORACE. ,o4741-w0440,pers00091
"Young, Edward","[The Complaint: or, Night-Thoughts on Life, Death & Immortality.] Night IV. The Christian Triumph.",ayo19-w0040,pers00267
"Sackville, Charles","BRITAIN'S ISLE. ON THE DEATH OF FREDERIC, PRINCE OF WALES.",o4987-w0210,pers00248
"Young, Edward","[The Complaint: or, Night-Thoughts on Life, Death & Immortality.] Night V. The Relapse.",ayo19-w0050,pers00267
"Duck, Stephen",Imitated from CLAUDIAN. ,o4741-w0450,pers00091
"Sackville, Charles",ARNO's VALE. A SONG.,o4987-w0200,pers00248
"Opie, Amelia",THE LUCAYAN'S SONG. ,bao18-w0080,pers00279
"Barbauld, Anna Laetitia","The MOUSE's PETITION, Found in the TRAP where he had been confin'd all Night. ",o3555-w0060,pers00149
"Tate, Nahum",The Installment. ,oat77-w0080,pers00344
"Hoadly, John",BOOK VII. Ep. 75. ,o5156-w1235,pers00108
Anonymous,The Robin's Complaint. Addressed to a Lady.,pyl90-w0020,pers00322
"Barbauld, Anna Laetitia","To MRS. P—, With some Drawings of BIRDS and INSECTS. ",o3555-w0070,pers00149
"Tate, Nahum",The Pennance. ,oat77-w0090,pers00344
"Gray, Thomas",[Hymn to Ignorance. A Fragment] ,tgaen-whyig,pers00039
"Opie, Amelia",SONG. ,bao18-w0090,pers00279
Anonymous,Verses on the Marriage of a Certain Amiable Couple. ,pyl90-w0030,pers00322
"Cotton, Nathaniel",On Lord COBHAM'S Gardens. ,o5155-w0530,pers00025
"Little, Janet",THE CAPTIVATED SOLDIER. ,bjl92-w0380,pers00338
"Little, Janet",ON READING LADY MARY MONTAGUE AND MRS. ROWE'S LETTERS. ,bjl92-w0390,pers00338
"Cotton, Nathaniel",TO-MORROW. Pereunt et Imputantur.,o5155-w0520,pers00025
"Macpherson, James",THE SONGS of SELMA. ,o5164-w0120,pers00291
"Macpherson, James",CALTHON and COLMAL: A POEM. ,o5164-w0130,pers00291
"Gray, Thomas",[Tophet] Inscription on a Portrait,tgaen-wtapr,pers00039
"Alcock, Mary",THE XXIIID PSALM. ,pma99-w0290,pers00306
"Marriott, Sir James","LAURA: OR, THE COMPLAINT. AN ELEGY.",o4985-w0520,pers00057
"Leapor, Mary",The MONTH of AUGUST. ,o5125-w0110,pers00154
"Prior, Matthew",VERSES Humbly presented to the KING At His Arrival in HOLLAND: After the DISCOVERY Of the late horrid CONSPIRACY Against His most Sacred Person.,omp96-w0010,pers00314
"Mallet, David",A FRAGMENT. ,o5089-w0120,pers00180
"Chandler, Mary",A Description of Bath. Humbly Inscribed to Her Royal Highness the Princess Amelia.,pmc36-w0010,pers00325
"Alcock, Mary",THE POWER OF FANCY. WRITTEN FOR THE VASE AT BATH-EASTON.,pma99-w0280,pers00306
"Leapor, Mary",The LINNET and the GOLDFINCH. ,o5125-w0100,pers00154
"Marriott, Sir James",RINALDO AND ARMIDA. TO A LADY SINGING.,o4985-w0530,pers00057
"Mallet, David","ZEPHIR: or, the STRATAGEM. THE ARGUMENT.",o5089-w0130,pers00180
"Pomfret, John",An Epistle to Delia. ,ppo24-w0050,pers00257
"Hunter, Anne","CARISBROOK CASTLE, A POEM, WITH NOTES.",bah18-w0140,pers00281
"Smith, Charlotte",SONNET [16] XVI. From Petrarch. ,n22cs-w0160,pers00290
"Jones, Mary",EPITAPH On Brigadier General HILL.,pjo50-w0360,pers00273
"Pomfret, John",Strephon's Love for Delia justified: In an Epistle to Celadon. ,ppo24-w0040,pers00257
"Jones, Mary","EPITAPH On a Young NOBLEMAN, Kill'd in an ENGAGEMENT at SEA. ",pjo50-w0370,pers00273
"Smith, Charlotte",SONNET [17] XVII. From the thirteenth Cantata of Metastasio. ,n22cs-w0170,pers00290
"Hunter, Anne","TO THE MEMORY OF A LOVELY INFANT, WRITTEN SEVEN YEARS AFTER HIS DEATH.",bah18-w0150,pers00281
"Finch, Anne, countess of Winchilsea","To Mr. F. now Earl of W. Who going abroad, had desired ARDELIA to write some Verses upon whatever Subject she thought fit, against his Return in the Evening.",o4784-w0790,pers00268
"Baillie, Joanna","THE BLACK COCK, WRITTEN FOR A WELCH AIR, CALLED “THE NOTE OF THE BLACK COCK.”",bjb18-w0710,pers00287
"Giles, Joseph",Some Reflections upon hearing the Bell toll for the Death of a FRIEND. ,o5156-w0390,pers00145
"Warton, Thomas",A PANEGYRIC on ALE. ,o5157-w0570,pers00053
"Pulteney, William, Earl of Bath","HORACE, Book II. Ode II. Quid bellicosus Cantaber, &c.",o5157-w0560,pers00076
"Finch, Anne, countess of Winchilsea",A SONG. ,o4784-w0780,pers00268
"Perry, John","MALVERN SPA, 1757. Inscribed to Dr. WALL.",o5156-w0380,pers00120
"Baillie, Joanna","SONG, WRITTEN AT MR. THOMSON'S REQUEST, AS A KIND OF INTRODUCTION TO HIS IRISH MELODIES.",bjb18-w0700,pers00287
"Egerton, Sarah Fyge",The Advice. ,pse03-w0410,pers00272
"Wesley, Charles",GRACE before MEAT. ,o3900-w0240,pers00309
"Macpherson, James",FRAGMENT I. ,o4688-w0010,pers00291
"Wesley, Charles",Another. ,o3900-w0250,pers00309
"Egerton, Sarah Fyge",An Ode on the Death of Mr. Dryden. ,pse03-w0400,pers00272
"Akenside, Mark",[Inscription]  IV. ,o5157-w0043,pers00047
"Hawkesworth, John",LIFE: AN ODE.,o4986-w0380,pers00044
"Powys, Thomas",A MORNING SOLILOQUY ON DEAFNESS. ,o4987-w0560,pers00246
"Carmichael, Rebekah",THE TWA DOWS ,prc90-w0020,pers00328
"Duck, Stephen","On Delia singing, and playing on Music. ",o4741-w0330,pers00091
"Goldsmith, Oliver",THE HERMIT. ,o4987-w0570,pers00174
"Carmichael, Rebekah",A SONG ,prc90-w0030,pers00328
"Hawkesworth, John",A MORAL THOUGHT. ,o4986-w0390,pers00044
"Duck, Stephen",The ANSWER. ,o4741-w0320,pers00091
"Rowe, Elizabeth",The Athenians Answer. ,oar96-w0220,pers00265
"Tighe, Mary",Written for Her Niece S. K. ,pmt18-w0300,pers00320
"Chatterton, Thomas",ELEGY. ,o4039-w0120,pers00288
"Smart, Christopher","The PRETTY CHAMBERMAID: In Imitation of Ne sit Ancillae tibi amor pudori, &c. of Horace. ODE VI.",o4103-w0080,pers00254
"Barber, Mary","To a Lady, who commanded me to send her an Account in Verse, how I succeeded in my Subscription. ",pba35-w1320,pers00087
"Rowe, Elizabeth",To one that perswades me to leave the Muses. ,oar96-w0230,pers00265
"Chatterton, Thomas",TO MR. HOLLAND. ,o4039-w0130,pers00288
"Smart, Christopher",IDLENESS. ODE VII.,o4103-w0090,pers00254
"Tighe, Mary",To Fortune. ,pmt18-w0310,pers00320
"Seward, Thomas",The INDIFFERENT. From the Italian of Metastasio.,o5153-w0690,pers00147
"Tickell, Thomas",AN ODE Inscrib'd to the Right Honourable the EARL of SUNDERLAND at WINDSOR. ,o5152-w0070,pers00011
"Carstairs, Christian",FALSEHOOD — TRUTH ,pcc86-w0280,pers00323
"Whitehead, William",SONG for RANELAGH. ,o5155-w0240,pers00038
"Tickell, Thomas",ON THE Death of the Earl of CADOGAN. ,o5152-w0060,pers00011
"Seward, Thomas",CHISWICK. ,o5153-w0680,pers00147
"Carstairs, Christian",Impudence caressed — Merit neglected. ,pcc86-w0290,pers00323
"Merrick, James",The BENEDICITE Paraphrased. ,o5155-w0250,pers00045
"Gray, Thomas",The Bard. A Pindaric Ode ,tgaen-wbapo,pers00039
"Mendez, Moses",THE THIRTEENTH BOOK OF VIRGIL. ADVERTISEMENT.,o5089-w0650,pers00033
"Melmoth, William",A TALE. ,o4985-w0250,pers00032
"Leapor, Mary",On SICKNESS. ,o5125-w0660,pers00154
"Dennis, John","THE BATTLE OF RAMILLIA: OR, THE Power of UNION. LIB. I.",o5191-w0010,pers00341
"Tickell, Thomas",TO APOLLO MAKING LOVE. FROM MONSIEUR FONTENELLE.,o5089-w0640,pers00011
"Leapor, Mary",To a Gentleman with a Manuscript Play. ,o5125-w0670,pers00154
"Melmoth, William",THE TRANSFORMATION OF LYCON AND EUPHORMIUS. ,o4985-w0240,pers00032
"Darwin, Erasmus","THE GOLDEN AGE, A POETICAL EPISTLE.",o3378-w0010,pers00337
"Prior, Matthew","AN ODE, &c. ",omp92-w0010,pers00314
"Watts, Isaac",SONG XI. Heaven and Hell.,o5454-w0110,pers00292
"Gay, John",FABLE [20] XX. The Old Hen and the Cock.,ojg27-w0210,pers00303
Anonymous,TO MYRTILIS. THE NEW YEAR'S OFFERING. ,o4986-w0710,pers00197
"Gay, John",FABLE [19] XIX. The Lyon and the Cub.,ojg27-w0200,pers00303
"Johnson, Samuel","TO MISS —, ON HER PLAYING UPON THE HARPSICORD IN A ROOM HUNG WITH SOME FLOWER-PIECES OF HER OWN PAINTING. ",o4986-w0700,pers00029
"Watts, Isaac",SONG X. Solemn Thoughts of GOD and Death.,o5454-w0100,pers00292
"Watts, Isaac",SICKNESS GIVES A Sight of HEAVEN. ,o4672-w0060,pers00292
"Kelly, Isabella","To the MEMORY of ELIZA F——E, AN EXEMPLARY MOTHER. ",pik94-w0020,pers00327
"Egerton, Sarah Fyge","On my leaving London, June the 29. ",pse03-w0080,pers00272
"Kelly, Isabella","The CHOICE; or, DULL HOUR PAST. ",pik94-w0030,pers00327
"Watts, Isaac","THE Universal Hallelujah, OR, PSALM 148. PARAPHRAS'D. ",o4672-w0070,pers00292
"Egerton, Sarah Fyge",The Repulse to Alcander. ,pse03-w0090,pers00272
"Finch, Anne, countess of Winchilsea","The Young RAT and his DAM, the COCK and the CAT. ",o4784-w0300,pers00268
"Baillie, Joanna",THIRD DEVOTIONAL SONG. ,bjb18-w0380,pers00287
"Ibbot, Benjamin",A Fit of the SPLEEN. In Imitation of SHAKESPHEAR.,o5156-w0700,pers00110
"Finch, Anne, countess of Winchilsea",The Wit and the Beau. ,o4784-w0310,pers00268
"Hall, William","HYMN to Miss LAURENCE, in the PUMP-ROOM. BATH, 1753.",o5156-w0710,pers00146
"Baillie, Joanna",A NURSERY LESSON (DEVOTIONAL). ,bjb18-w0390,pers00287
"Chatterton, Thomas",TO A FRIEND. ,o4198-w0010,pers00288
"Parnell, Thomas","HEALTH, an ECLOGUE.",o4106-w0110,pers00294
"Cowper, William","THE SHRUBBERY, Written in a Time of Affliction. ",o3794-w0350,pers00269
"Manners, Catherine Rebecca Grey, Lady","On Parting with a Mother, in M DCC XC.",pcm93-w0200,pers00313
"Barber, Mary",The RECANTATION: To the same Lady. ,pba35-w0720,pers00087
"Bourne, Vincent / Cowper, William",[Translation] 4. THE PARROT. ,o3794-w0340,"pers00270,pers00269"
"Manners, Catherine Rebecca Grey, Lady",Lines on the Late Partition of Poland. ,pcm93-w0210,pers00313
"Parnell, Thomas",To Mr. POPE. ,o4106-w0100,pers00294
"Grierson, Constantia","To the Honourable Mrs. Percival, with Hutcheson's Treatise on Beauty and Order. ",pba35-w0730,pers00261
"Alcock, Mary",AN AUNT'S LAMENTATION FOR THE ABSENCE OF HER NIECE. WRITTEN FROM HASTINGS.,pma99-w0170,pers00306
"Emily, Charles",DEATH: ,o4984-w0020,pers00221
"Collier, Mary","THE THREE WISE SENTENCES, From the First Book of ESDRAS Chap. III. and IV.",pco62-w0020,pers00293
"Blamire, Susanna",DEAR NANCY. ,bsb18-w0720,pers00280
"Dalton, John","A DESCRIPTIVE POEM: ADDRESSED TO TWO LADIES, AT THEIR RETURN FROM VIEWING THE MINES NEAR WHITEHAVEN. ",o4984-w0030,pers00218
"Collier, Mary","AN EPISTOLARY ANSWER To an Exciseman, Who doubted her being the Author of the Washerwoman's Labour. ",pco62-w0030,pers00293
"Alcock, Mary",A HYMN. ,pma99-w0160,pers00306
"Blamire, Susanna","O JENNY DEAR, THE WORD IS GANE. ",bsb18-w0730,pers00280
"Day, Eliza",SONNET. ,bed98-w0420,pers00340
"Thomson, James",An ODE ON AEOLUS's HARP. ,o5154-w0030,pers00020
"Churchill, Charles",THE CONFERENCE. ,o3585-w0010,pers00155
"Little, Janet",THE FICKLE PAIR. ,bjl92-w0060,pers00338
"Yearsley, Ann",On Mrs. MONTAGU. ,pye85-w0160,pers00256
"Lyttelton, George, 1st Baron Lyttelton","To the Same, with Hammond's Elegies. ",o5153-w0200,pers00030
"Little, Janet","TO A LADY, A PATRONESS OF THE MUSES, ON HER RECOVERY FROM SICKNESS. ",bjl92-w0070,pers00338
"Thomson, James",HYMN on SOLITUDE. ,o5154-w0020,pers00020
"Day, Eliza",SONNET. ,bed98-w0430,pers00340
"Yearsley, Ann",CLIFTON HILL. Written in January 1785.,pye85-w0170,pers00256
"Lyttelton, George, 1st Baron Lyttelton",To the Same. ,o5153-w0210,pers00030
"Opie, Amelia",[SONG.] ,bao18-w0360,pers00279
"Berkeley, George Monck","THE AUTHOR. TO ARTHUR MURPHY, ESQ.",o5280-w0330,pers00277
"Prior, Matthew",LOVE Disarm'd. ,pmp18-w0250,pers00314
"Tate, Nahum",[Martial] Lib. 1. Epigr. XIV. De Arriâ & Paeto.,oat77-w0360,pers00344
"Berkeley, George Monck","FAREWELL STANZAS ON LEAVING COOKHAM, IN THE SPRING OF THE YEAR, 1781, WHEN MR. B. WAS NOT QUITE EIGHTEEN YEARS OLD, TWO YEARS AFTER HE LEFT ETON-SCHOOL.",o5280-w0320,pers00277
"Tate, Nahum",[Martial] Lib. 1. Epigr. CX. De Issa Catellâ Publij.,oat77-w0370,pers00344
"Prior, Matthew",TO Mr. HOWARD: An ODE. ,pmp18-w0240,pers00314
"Pope, Alexander",AN EPISTLE To the Right Honourable RICHARD Earl of BURLINGTON. ,o3689-w0010,pers00012
"Opie, Amelia",[SONG.] ,bao18-w0370,pers00279
"Burns, Robert",[EPITAPH] FOR R. A. Esq; ,cbu86-w0420,pers00307
"Burns, Robert",[EPITAPH] FOR G. H. Esq; ,cbu86-w0430,pers00307
"Whitehead, William",THE ENTHUSIAST: AN ODE. ,o4985-w0580,pers00038
"Alcock, Mary",MODERN MANNERS. ,pma99-w0230,pers00306
"Carter, Elizabeth",TO MRS. —. ,o4984-w0360,pers00085
"Blamire, Susanna",O WHERE IS THE SPLENDOUR. ,bsb18-w0460,pers00280
"Whitehead, William",VERSES to the People of ENGLAND 1758. ,o5089-w0180,pers00038
"Carter, Elizabeth",TO —. OCCASIONED BY AN ODE WRITTEN BY MRS. PHILIPS. ,o4984-w0370,pers00085
"Alcock, Mary",WRITTEN IN IRELAND. ,pma99-w0220,pers00306
"Thomas, Elizabeth","TO WILLIAM SHENSTONE, Esq The PRODUCTION of Half an Hour's Leisure.",o5089-w0190,pers00187
"Blamire, Susanna",O BID ME NOT TO WANDER. Written when earnestly entreated to go to the South of France for the recovery of her health.,bsb18-w0470,pers00280
"Opie, Amelia","JULIA, OR THE CONVENT OF ST. CLAIRE.",bao18-w0020,pers00279
"Tate, Nahum","On a Diseased Old Man, who Wept at thought of leaving the World. ",oat77-w0020,pers00344
"Prior, Matthew",THE DESPAIRING SHEPHERD. ,pmp18-w0110,pers00314
"Berkeley, George Monck","EPITAPH ON AN UNFORTUNATE LADY. TO THE REV. GEORGE GLEIG, A.M.",o5280-w0070,pers00277
Anonymous,An Answer to a Rebus. ,pyl90-w0080,pers00322
"Prior, Matthew",A SONG. ,pmp18-w0100,pers00314
"Tate, Nahum",TO Mr. THOMAS FLATMAN ON HIS Excellent POEMS. ,oat77-w0030,pers00344
"Berkeley, George Monck","EPITAPH ON G. R. BERKELEY, ESQ. TO MRS. GEORGE BERKELEY, HIS MOTHER.",o5280-w0060,pers00277
"Opie, Amelia","THE MAD WANDERER, A BALLAD.",bao18-w0030,pers00279
Anonymous,An Inscription wrote on the Monument of a Young and Beautiful Lady. ,pyl90-w0090,pers00322
"Gray, Thomas",A Long Story ,tgaen-wlost,pers00039
"Day, Eliza",MERCY. ,bed98-w0760,pers00340
"Duncombe, John",ODE to HEALTH. ,o5155-w0590,pers00055
"Little, Janet","ON THE DEATH OF J—. H—. ESQ. JUNE, 1790.",bjl92-w0320,pers00338
"Dunkin, William",The POET'S PRAYER. ,o5154-w0370,pers00092
"Carey, Henry","AN EPISTLE To the Right Honourable PHILIP, Earl of Chesterfield, &c. ",o4085-w0010,pers00329
"Lyttelton, George, 1st Baron Lyttelton","Part of an Elegy of Tibullus, translated. (Divitias alius fulvo sibi congerat Auro.) 1729-30.",o5153-w0140,pers00030
"Hervey, John, Baron of Ickworth","To the Same. From Hampton-Court, 1731.",o5154-w0360,pers00106
"Little, Janet","ON THE BIRTH OF J—. H—. ESQ.'S SON. NOVEMBER 15, 1790.",bjl92-w0330,pers00338
"Mason, William",ODE to an AEOLUS's Harp. Sent to Miss SHEPHEARD.,o5155-w0580,pers00051
"Day, Eliza",RESIGNATION. ,bed98-w0770,pers00340
"Lyttelton, George, 1st Baron Lyttelton",SONG. Written in the Year 1732.,o5153-w0150,pers00030
"Watts, Isaac",BEWAILING My own Inconstancy. ,o4672-w0320,pers00292
"Prior, Matthew",On the Same. ,pmp18-w0830,pers00314
"Wesley, Charles","HEB. xii. 2. Looking unto JESUS, the Author and Finisher of our Faith. ",o3900-w0590,pers00309
"Williams, Helen Maria","THE CHARTER; ADDRESSED TO MY NEPHEW ATHANASE C. L. COQUEREL, ON HIS WEDDING DAY, 1819.",bhw18-w0510,pers00276
"Prior, Matthew",On the same Subject. ,pmp18-w0820,pers00314
"Watts, Isaac","Forsaken, yet Hoping. ",o4672-w0330,pers00292
"Williams, Helen Maria",LINES ON THE TOMB OF A FAVOURITE DOG. ,bhw18-w0500,pers00276
"Wesley, Charles",The 53d Chapter of ISAIAH. ,o3900-w0580,pers00309
"Watts, Isaac",SONG XXV. A MORNING SONG:,o5454-w0250,pers00292
"Barclay, James",THE INVITATION. ,o4986-w0450,pers00206
"Gay, John",FABLE [14] XIV. The Monkey who had seen the World.,ojg27-w0150,pers00303
"Gray, Thomas",[Lines on Dr Robert Smith] ,tgaen-wlods,pers00039
"Barclay, James",THE TULIP AND LILY. ,o4986-w0440,pers00206
"Gay, John",FABLE [13] XIII. The tame Stag.,ojg27-w0140,pers00303
"Watts, Isaac",SONG XXIV. The Child's Complaint.,o5454-w0240,pers00292
"Manners, Catherine Rebecca Grey, Lady",To Hope. ,pcm93-w0140,pers00313
"Cowper, William",TABLE TALK. ,o3794-w0010,pers00269
"Cowley, Hannah",ON SEEING THE PALETTE OF A CELEBRATED PAINTER.,o4739-w0040,pers00284
"Barber, Mary","An Apology for my Son to his Master, for not bringing an Exercise on the Coronation Day. ",pba35-w0460,pers00087
"Tighe, Mary",[Psyche] Canto III. ,pmt18-w0022,pers00320
"Manners, Catherine Rebecca Grey, Lady",Written in Winter. ,pcm93-w0150,pers00313
"Cowley, Hannah",THE FUNERAL. ,o4739-w0050,pers00284
"Barber, Mary","Written from Dublin, to a Lady in the Country. ",pba35-w0470,pers00087
"Davies, Sneyd",On J. W. ranging PAMPHLETS. ,o5156-w0440,pers00028
"Finch, Anne, countess of Winchilsea",THE Mussulman's Dream OF THE VIZIER and DERVIS. ,o4784-w0040,pers00268
"Davies, Sneyd",EPITHALAMIUM. ,o5156-w0450,pers00028
"Finch, Anne, countess of Winchilsea",The Shepherd Piping to the Fishes. ,o4784-w0050,pers00268
"Taylor, William",PENANCE. ,o5156-w1050,pers00133
"Bramston, James","THE ART of POLITICKS, In Imitation of HORACE's ART of POETRY.",o5152-w0330,pers00143
"Hervey, John, Baron of Ickworth",EPISTLES in the Manner of OVID. MONIMIA to PHILOCLES.,o5155-w0100,pers00106
"Shenstone, William","THE SCHOOL-MISTRESS. A POEM, In Imitation of Spenser.",o5152-w0320,pers00035
"Taylor, William",ABSOLUTION. ,o5156-w1040,pers00133
"Hervey, John, Baron of Ickworth",FLORA to POMPEY. ,o5155-w0110,pers00106
"Rowe, Elizabeth","The Vanity of the World, In a Poem to the Athenians. ",oar96-w0160,pers00265
"Barber, Mary",Verses occasion'd by the Sickness of Mrs. Anne Donnellan. ,pba35-w1070,pers00087
"Craven, Elizabeth","[I thank thee God, that I have lived] ",ilc21-w0010,pers00215
"Prior, Matthew","A LETTER TO Monsieur Boileau Despreaux; Occasion'd by the VICTORY at BLENHEIM, 1704.",pmp18-w0580,pers00314
"Tighe, Mary","Written at Scarborough. August, 1799.",pmt18-w0040,pers00320
"Rowe, Elizabeth",The Athenians Answer. ,oar96-w0170,pers00265
"Barber, Mary",By a Person of Quality. ,pba35-w1060,pers00087
"Wesley, Charles","Therefore with Angels, &c. ",o3900-w0830,pers00309
"Prior, Matthew","FOR The Plan of a Fountain, On which is The Effigies of the Queen on a Triumphal Arch, The Figure of the Duke of Marlborough, beneath, and The Chief Rivers of the World round the whole Work.",pmp18-w0590,pers00314
"Tighe, Mary",Sonnet. ,pmt18-w0050,pers00320
Anonymous,PETRARCH AND LAURA. AN EPIGRAMMATIC TALE.,o5089-w0510,pers00164
"Nugent, Robert Craggs, Earl Nugent",EPIGRAM XIII. ,o5153-w0802,pers00119
"Leapor, Mary",The QUESTION. Occasion'd by a serious Admonition.,o5125-w0520,pers00154
"Collins, William",THE PASSIONS. AN ODE. ,o4985-w0110,pers00048
